phrase_id,lang,text
1,en,輸入玩家名稱和房間號碼來加入遊戲！
2,en,玩家名稱
3,en,房間號碼
4,en,玩家人數：4-8人
5,en,遊戲時長：30-45分鐘
6,en,規則作者：Max Levatich
7,en,發現Bug？在這裡報告或查看我們的代碼！
8,en,點擊右下角的箱子加入我們的Discord尋找遊戲！
9,en,斷線了？重新輸入您的名稱和房間號碼即可重新加入遊戲。
10,en,"遊戲簡介

暗影獵人是一款線上多人遊戲（基於同名桌遊），玩家將扮演屬於三個對立陣營的角色。暗影是來自地下世界的居民，目標是消滅所有獵人；而獵人是凡間界的守護者，試圖驅逐暗影。中立者則捲入這場衝突中，追求著自己的隱藏目標。

當夜幕降臨在神秘森林邊緣的廢棄小鎮廢墟上時，盟友和敵人的身份都被流動的迷霧所掩蓋，玩家必須在黑暗中發現誰是朋友誰是敵人，然後發起突襲！"
11,en,"如何開始遊戲

要開始暗影獵人遊戲，請在主頁面輸入用戶名和房間號碼 - 點擊加入後將進入新頁面，您可以在那裡與加入同一房間的其他玩家交談。一旦所需數量的玩家加入同一房間，任何玩家都可以點擊開始遊戲""按鈕與這些玩家開始遊戲。"
,,
"在等待室中，可以在""開始遊戲""按鈕上方指定遊戲所需的玩家數量。如果數量大於當前房間內的玩家數量，剩餘的位置將由電腦玩家填補。（玩家數量由點擊""開始遊戲""的人提交；其他數字將被忽略）。",,
,,
在遊戲過程中，網路連接不穩定的玩家可能會與遊戲伺服器斷開連接。這些玩家將被重定向回主頁面，在遊戲中他們將被CPU玩家取代。斷線的玩家可以通過從主頁面用相同的用戶名重新加入同一房間來輕鬆重連並接管他們的CPU。如果所有玩家都離開遊戲，遊戲將終止。,,
,,
"如果玩家試圖加入一個已經在進行中的遊戲房間，他們將開始旁觀該遊戲 - 他們可以在聊天中與其他玩家交談並查看發生的事情，但不能以其他方式影響遊戲。""",,
12,en,"遊戲版面

遊戲開始後，暗影獵人遊戲版面將出現在所有玩家面前。如上圖所示。高亮數位識別碼了其各個部分："
13,en,您的角色頭像。頭像左上角的彩色泡泡標識您的陣營 - 紅色代表暗影，藍色代表獵人，黃色代表中立。右下角的泡泡顯示您的最大生命值。頭像周圍的彩色圓圈標識您在遊戲版面上的精靈顏色。
14,en,在您的角色頭像下方是關於您角色的所有細節 - 他們的名字、陣營、勝利條件和特殊能力。滿足您的勝利條件即可贏得遊戲！
15,en,您的軍火庫包含您擁有的所有裝備卡。軍火庫中的每個槽位元都顯示一件裝備的圖片，點擊它將顯示該裝備的名稱和效果。裝備卡會在適用的情況下自動使用 - 無需手動啟動。
16,en,生命值條顯示遊戲中每個玩家當前的傷害值，由與每個玩家分配的顏色相對應的標記表示。當玩家受到傷害和治療時，標記在生命值條上上下移動。當玩家的傷害達到其角色的最大生命值時，他們死亡並退出遊戲！點擊生命值條顯示可玩角色死亡時的生命值。關注其他玩家的位置來確定他們可能是或不是哪些角色！再次點擊生命值條將關閉此彈窗。
17,en,三個區域，每個區域包含兩個地點，佔據遊戲版面的中心，表示玩家可以佔據的不同位置。每個地點都有一個名稱和一個或多個數位，標識將玩家帶到該特定地點的骰子點數。點擊地點卡牌將顯示可以在該地點執行的行動。
18,en,每個玩家的精靈顯示在遊戲版面上。每個精靈都有一個顏色，標識他們是特定的玩家，並與他們在生命值條上的標記相匹配。精靈在遊戲版面上的位置反映了該玩家所在的地點。點擊精靈將顯示玩家的名字和他們擁有的裝備，如果他們已經揭示身份，還會顯示其角色身份。再次點擊精靈將關閉彈窗。
19,en,當玩家需要採取行動時，無論是因為輪到他們的回合，還是因為他們收到了隱士卡或使用了特殊能力，遊戲版面右下角都會出現按鈕提示，給玩家他們的選項。當玩家必須從多個選項中選擇時，比如選擇攻擊另一個玩家或移動到某個地點，將出現一個跨越遊戲版面中間的更大提示。點擊按鈕執行相應的動作！
20,en,"在遊戲的任何時候，您都可以通過點擊角色頭像下方的揭示""按鈕向其他人揭示您的身份。一旦您揭示身份，就可以啟動您的特殊能力！"""
21,en,"在您揭示身份後，揭示""按鈕將被""特殊""按鈕替代。點擊它將啟動您的特殊能力！某些角色在使用特殊能力時有限制 - 點擊按鈕仍然會啟動它，但只會在遊戲中下一個有效的時點生效！"""
